# T [MeV]          muB [MeV]        muQ [MeV]
      5.00000000e-02      1.64907642e+03     -1.08174981e+01
      5.00000000e-02      1.64907642e+03     -1.16695357e+01
      5.00000000e-02      1.64907642e+03     -1.25886839e+01
      5.00000000e-02      1.64907642e+03     -1.35802285e+01
      5.00000000e-02      1.64907642e+03     -1.46498719e+01
      5.00000000e-02      1.64907642e+03     -1.58037654e+01
      5.00000000e-02      1.64907642e+03     -1.70485452e+01
      5.00000000e-02      1.64907642e+03     -1.83913697e+01
      5.00000000e-02      1.64907642e+03     -1.98399614e+01
      5.00000000e-02      1.64907642e+03     -2.14026511e+01
      5.00000000e-02      1.64907642e+03     -2.30884257e+01
      5.00000000e-02      1.64907642e+03     -2.49069799e+01
      5.00000000e-02      1.64907642e+03     -2.68687721e+01
      5.00000000e-02      1.64907642e+03     -2.89850844e+01
      5.00000000e-02      1.64907642e+03     -3.12680875e+01
      5.00000000e-02      1.64907642e+03     -3.37309108e+01
      5.00000000e-02      1.64907642e+03     -3.63877178e+01
      5.00000000e-02      1.64907642e+03     -3.92537875e+01
      5.00000000e-02      1.64907642e+03     -4.23456025e+01
      5.00000000e-02      1.64907642e+03     -4.56809435e+01
      5.00000000e-02      1.64907642e+03     -4.92789919e+01
      5.00000000e-02      1.64907642e+03     -5.31604396e+01
      5.00000000e-02      1.64793469e+03     -5.73476087e+01
      5.00000000e-02      1.64679375e+03     -6.18645791e+01
      5.00000000e-02      1.64565359e+03     -6.67373276e+01
      5.00000000e-02      1.64451423e+03     -7.19938769e+01
      5.00000000e-02      1.64337565e+03     -7.76644570e+01
      5.00000000e-02      1.64223787e+03     -8.37816790e+01
      5.00000000e-02      1.64110087e+03     -9.03807225e+01
      5.00000000e-02      1.63996466e+03     -9.74995381e+01
      5.00000000e-02      1.63882923e+03     -1.05179065e+02
      5.00000000e-02      1.63769459e+03     -1.13463469e+02
      5.00000000e-02      1.63656074e+03     -1.22400391e+02
      5.00000000e-02      1.63542767e+03     -1.32041228e+02
      5.00000000e-02      1.63429539e+03     -1.42441423e+02
      5.00000000e-02      1.63316389e+03     -1.53660787e+02
      5.00000000e-02      1.63203317e+03     -1.65763842e+02
      5.00000000e-02      1.63090323e+03     -1.78820190e+02
      5.00000000e-02      1.62851932e+03     -1.92904919e+02
      5.00000000e-02      1.62093073e+03     -2.08099028e+02
      5.00000000e-02      1.60379650e+03     -2.24489897e+02
      5.00000000e-02      1.58558129e+03     -2.42171789e+02
      5.00000000e-02      1.56757297e+03     -2.61246391e+02
      5.00000000e-02      1.54976917e+03     -2.81823399e+02
