# T  muB  muS  muQ  dnB
  8.000000e+01   8.675000e+02   0.000000e+00  -2.130000e+02   4.502260e-01
  8.000000e+01   8.685000e+02   0.000000e+00  -2.120000e+02   4.881471e-01
  8.000000e+01   8.685000e+02   0.000000e+00  -2.110000e+02   4.702859e-01
  8.000000e+01   8.695000e+02   0.000000e+00  -2.100000e+02   5.117596e-01
  8.000000e+01   8.695000e+02   0.000000e+00  -2.090000e+02   4.933579e-01
  8.000000e+01   8.695000e+02   0.000000e+00  -2.080000e+02   4.745052e-01
  8.000000e+01   8.705000e+02   0.000000e+00  -2.070000e+02   5.181380e-01
  8.000000e+01   8.705000e+02   0.000000e+00  -2.060000e+02   5.005624e-01
  8.000000e+01   8.705000e+02   0.000000e+00  -2.050000e+02   4.806017e-01
  8.000000e+01   8.715000e+02   0.000000e+00  -2.040000e+02   5.230033e-01
  8.000000e+01   8.715000e+02   0.000000e+00  -2.030000e+02   5.102916e-01
  8.000000e+01   8.715000e+02   0.000000e+00  -2.020000e+02   4.890859e-01
  8.000000e+01   8.725000e+02   0.000000e+00  -2.010000e+02   5.282490e-01
  8.000000e+01   8.725000e+02   0.000000e+00  -2.000000e+02   5.232144e-01
  8.000000e+01   8.725000e+02   0.000000e+00  -1.990000e+02   5.004799e-01
  8.000000e+01   8.725000e+02   0.000000e+00  -1.980000e+02   4.770252e-01
  8.000000e+01   8.735000e+02   0.000000e+00  -1.970000e+02   5.308384e-01
  8.000000e+01   8.735000e+02   0.000000e+00  -1.960000e+02   5.158273e-01
  8.000000e+01   8.735000e+02   0.000000e+00  -1.950000e+02   4.906419e-01
  8.000000e+01   8.745000e+02   0.000000e+00  -1.940000e+02   5.366567e-01
  8.000000e+01   8.745000e+02   0.000000e+00  -1.930000e+02   5.339091e-01
  8.000000e+01   8.745000e+02   0.000000e+00  -1.920000e+02   5.094799e-01
  8.000000e+01   8.755000e+02   0.000000e+00  -1.910000e+02   5.428964e-01
  8.000000e+01   8.755000e+02   0.000000e+00  -1.900000e+02   5.402148e-01
  8.000000e+01   8.755000e+02   0.000000e+00  -1.890000e+02   5.356276e-01
  8.000000e+01   8.755000e+02   0.000000e+00  -1.880000e+02   5.048012e-01
